字(Character),构件(Decomposition),理据打分(Rationality Score),拼音(pinyin),繁体(Traditional Chinese character),网络中的层次(Network Level),字频1(Frequency 1),字频排序1(Frequency Order 1),学习顺序1(Learning Order 1),字频2(Frequency 2),字频排序2(Frequency Order 2),学习顺序2(Learning Order 2)
丁,丁,4,dīng zhēng,丁,,0.0121,1131,144,0.012133598,1168,160
入,入,1,rù,入,,0.0934,236,166,0.099446514,210,161
么,么,1,mó me ma mo mǒ,麽,,0.2175,80,198,0.247007274,63,162
各,夊囗,1,gè gě,各,,0.1389,153,151,0.099964333,209,163
合,亼口,4,hé gě,合,,0.1504,139,161,0.123654797,171,164
米,米,2,mǐ,米,,0.035,580,153,0.036003387,575,165
尢,尢,1,yóu wāng,尢,,0,3938,165,1.447E-05,3979,166
金,亼王八,1,jīn jìn,金,,0.0769,294,164,0.086774425,260,167
相,木目,5,xiāng xiàng,相,,0.1575,130,162,0.139079799,152,168
法,水去,1,fǎ,法,,0.2159,82,202,0.24124357,65,169
页,首儿,1,yè xié,頁,,0.0039,1885,195,0.012847795,1128,170
尤,尢,1,yóu,尤,,0.0128,1085,168,0.013388869,1099,171
学,子,1,xué,學,,0.36,33,108,0.239923183,66,172
同,凡口,1,tóng tòng dòng,同,,0.2759,58,142,0.22615086,69,173
户,户,3,hù,戶,,0.0197,849,203,0.022640357,801,174
石,厂口,4,shí dàn,石,,0.0561,401,139,0.052789085,414,175
殳,几又,2,shū,殳,,0,3938,209,3.25575E-05,3973,176
头,头,1,tóu tou,頭,,0.1484,142,158,0.142069918,147,177
青,生丹,1,qīng jīng,青,,0.0551,406,177,0.042696271,497,178
覀,冖,1,yà xī,覀,,0,3938,159,0,4017,179
如,女口,2,rú,如,,0.2214,79,194,0.23205513,67,180
都,者阝,3,dū dōu,都,,0.2374,71,179,0.227162208,68,181
当,当,1,dāng dàng dǎng,當,,0.1936,102,224,0.221842422,71,182
天,大,5,tiān,天,,0.2091,88,196,0.21698981,78,183
古,十口,1,gǔ,古,,0.0414,504,210,0.041577431,509,184
现,玉见,3,xiàn,現,,0.2768,57,150,0.224264077,70,185
艮,匕目,1,gèn gěn hén,艮,,0.0001,3870,193,0.000155552,3898,186
曰,口,5,yuē,曰,,0.0027,2189,218,0.005723395,1656,187
凵,凵,5,kǎn qiǎn,凵,,0,3938,176,0,4017,188
没,水殳,1,méi mò,沒,,0.1783,114,241,0.221259488,72,189
动,云力,1,dòng,動,,0.3241,44,123,0.22058405,73,190
面,目,1,miàn,面,,0.2485,64,167,0.219726704,74,191
起,走己,3,qǐ,起,,0.244,68,172,0.219599058,75,192
长,长,1,cháng zhǎng zhàng,長,,0.2037,93,169,0.176817,109,193
看,手目,5,kàn kān,看,,0.1958,99,225,0.219435237,76,194
定,宀正,3,dìng,定,,0.2281,77,186,0.218361357,77,195
从,人,5,cóng zòng cōng zōng,从,,0.2109,87,185,0.191188795,98,196
隹,隹,1,zhuī cuī wéi,隹,,0,3938,212,3.92757E-05,3969,197
因,囗大,1,yīn,因,,0.1925,103,204,0.192043557,96,198
还,辵不,1,huán hái xuán,還,,0.2286,76,188,0.214907682,80,199
进,辵井,1,jìn,進,,0.232,74,182,0.213001262,81,200
占,卜口,1,zhān zhàn,占,,0.0337,599,219,0.025828921,737,201
好,女子,5,hǎo hào,好,,0.2126,84,207,0.212846226,82,202
关,关,1,guān,關,,0.1536,136,213,0.15631355,127,203
部,咅阝,1,bù pǒu,部,,0.1997,96,222,0.208298517,84,204
些,此二,1,xiē suò sā,些,,0.1884,107,231,0.206986916,86,205
广,广,1,guǎng ān,广,,0.0556,404,216,0.045425413,468,206
军,冖车,2,jūn,軍,,0.0948,231,347,0.187348048,102,207
重,人东土,1,zhòng chóng tóng,重,,0.1671,119,160,0.146169058,140,208
东,东,1,dōng,東,,0.0894,252,221,0.106580733,194,209
样,木羊,4,yàng xiàng,樣,,0.1968,98,223,0.205757485,88,210
理,玉里,5,lǐ,理,,0.2335,73,181,0.205725444,89,211
与,与,2,yǔ yú yù,與,,0.1627,121,230,0.178565801,108,212
前,止月刀,1,qián,前,,0.1828,109,232,0.197117871,93,213
她,女也,1,tā jiě,她,,0.1362,159,306,0.200828905,91,214
戌,戌,1,xū,戌,,0.0005,3397,184,0.00031989,3697,215
高,高,3,gāo gào,高,,0.1892,104,180,0.151698142,134,216
尸,尸,2,shī,尸,,0.0031,2069,187,0.007032929,1517,217
无,无,1,wú mó,無,,0.1477,144,253,0.185662811,105,218
马,马,1,mǎ,馬,,0.0773,293,228,0.080500654,276,219
耂,老,5,lǎo,耂,,0,3938,245,0,4017,220
仌,仌,3,bīng,仌,,0,3938,217,0,4017,221
但,人旦,5,dàn,但,,0.1623,123,261,0.193514845,95,222
寺,土寸,1,sì,寺,,0.005,1720,199,0.004237638,1892,223
想,相心,4,xiǎng,想,,0.1767,115,243,0.190600177,99,224
由,口,1,yóu yāo,由,,0.1603,125,215,0.1510041,136,225
实,宀头,1,shí,實,,0.2272,78,190,0.190432221,100,226
意,音心,2,yì,意,,0.1736,116,247,0.186162543,104,227
乍,乍,1,zhà zuò,乍,,0.0005,3397,201,0.001101269,2904,228
业,业,1,yè,業,,0.1952,101,189,0.153055737,130,229
它,它,1,tā tuō,它,,0.1806,111,234,0.17889706,107,230
王,王,1,wáng wàng yù,王,,0.0546,408,265,0.074390187,299,231
申,申,1,shēn,申,,0.0055,1658,233,0.013194041,1110,232
化,人匕,2,huà huā,化,,0.2084,89,155,0.116136607,178,233
公,八厶,1,gōng,公,,0.108,203,329,0.16466118,115,234
耳,耳,1,ěr réng,耳,,0.0164,952,252,0.019606311,887,235
冉,冉,1,rǎn,冉,,0.0007,3168,303,0.000890938,3053,236
两,两,1,liǎng liàng,兩,,0.1574,131,236,0.152244901,133,237
把,手巴,4,bǎ bà,把,,0.2002,95,220,0.176084199,110,238
民,民,1,mín,民,,0.2115,86,205,0.173534381,113,239
机,木几,5,jī,機,,0.1362,159,306,0.175615475,111,240
及,人又,5,jí,及,,0.0958,225,229,0.10473736,198,241
山,山,5,shān,山,,0.1,213,246,0.086893286,259,242
知,矢口,1,zhī zhì,知,,0.117,187,321,0.158334697,123,243
音,言,1,yīn yìn,音,,0.0597,380,238,0.039297892,540,244
第,竹弟,5,dì,第,,0.1164,188,343,0.168358261,114,245
明,日月,5,míng,明,,0.1577,129,262,0.16013776,121,246
矢,矢,3,shǐ,矢,,0.0012,2789,291,0.001274392,2803,247
足,口止,1,zú jù,足,,0.0411,508,227,0.039991418,527,248
将,爿夕寸,1,jiāng jiàng qiāng,將,,0.0806,283,413,0.152754451,132,249
次,二欠,1,cì,次,,0.1021,211,250,0.111034904,183,250
欠,欠,3,qiàn quē,欠,,0.0028,2150,268,0.003969943,1948,251
士,士,1,shì,士,,0.0416,503,271,0.059794107,372,252
向,宀口,1,xiàng shǎng,向,,0.1381,158,251,0.143142247,146,253
间,门日,2,jiān jiàn jiǎn,間,,0.1556,134,249,0.15101857,135,254
已,己,1,yǐ,已,,0.1228,172,331,0.164411573,117,255
使,人吏,1,shǐ shì,使,,0.1626,122,259,0.163445185,119,256
且,且,1,qiě jū,且,,0.0637,353,263,0.07472558,295,257
巴,巴,2,bā,巴,,0.0277,684,254,0.038715992,546,258
元,儿,1,yuán,元,,0.0488,449,295,0.060199267,370,259
情,心青,4,qíng,情,,0.1564,132,273,0.161702069,120,260
𢀖,𢀖,1,jīng xíng,巠,,0,3938,239,0,4017,261
性,心生,3,xìng,性,,0.2125,85,208,0.160122773,122,262
,,1,,,,0,3938,206,0,4017,263
凡,凡,1,fán,凡,,0.0128,1085,240,0.015779001,1013,264
全,入玉,1,quán,全,,0.16,127,264,0.157747629,124,265
弓,弓,5,gōng,弓,,0.0024,2282,266,0.002746713,2225,266
穴,穴,2,xué jué xuè,穴,,0.0028,2150,272,0.004016454,1940,267
豕,豕,4,shǐ,豕,,0.0001,3870,244,9.8706E-05,3931,268
三,三,5,sān sàn,三,,0.1716,117,248,0.157243247,125,269
身,身,1,shēn juān yuán,身,,0.1113,196,298,0.129054168,164,270
取,耳又,3,qǔ qū,取,,0.0764,296,279,0.06930192,323,271
点,火占,1,diǎn duò zhān,點,,0.1662,120,257,0.155448969,128,272
并,并,1,bìng bīng,并,,0.1204,177,315,0.145534963,141,273
直,十目,1,zhí,直,,0.0864,261,277,0.087563556,255,274
外,夕卜,1,wài,外,,0.156,133,274,0.152784941,131,275
㕣,八口,1,yǎn yàn,㕣,,0,3938,310,0,4017,276
皮,又,1,pí,皮,,0.0319,625,305,0.02573745,741,277
问,门口,3,wèn,問,,0.1247,167,325,0.148956597,137,278
或,囗戈,1,huò yù,或,,0.1135,193,326,0.134770328,160,279
加,力口,1,jiā,加,,0.1389,153,276,0.125913665,166,280
具,目廾,1,jù,具,,0.0835,273,256,0.056231907,391,281
很,彳艮,3,hěn,很,,0.1388,155,300,0.146897208,138,282
最,冃取,1,zuì,最,,0.1228,172,330,0.146606258,139,283
更,更,1,gēng gèng,更,,0.085,267,314,0.096834165,221,284
物,牛勿,5,wù,物,,0.2166,81,200,0.145292074,142,285
辛,辛,1,xīn,辛,,0.0074,1464,292,0.00760346,1463,286
先,之儿,1,xiān,先,,0.0977,221,311,0.108849419,188,287
产,文厂,2,chǎn,产,,0.273,60,149,0.137032813,159,288
应,应,1,yīng yìng,應,,0.1484,142,285,0.144898283,144,289
彡,彡,5,shān xiǎn xiān,彡,,0,3938,237,3.1007E-06,3995,290
战,占戈,5,zhàn,戰,,0.0919,240,415,0.144067293,145,291
比,匕,3,bǐ bì pí pǐ,比,,0.1198,180,270,0.103690353,199,292
利,禾刀,1,lì,利,,0.124,170,318,0.138918562,155,293
体,人本,1,tǐ tī,體,,0.2316,75,183,0.141491636,149,294
果,木,4,guǒ kè luǒ wǒ,果,,0.1194,182,304,0.127558592,165,295
原,厂泉,3,yuán yuàn,原,,0.1308,165,260,0.107273742,193,296
政,正攴,2,zhèng zhēng,政,,0.1227,174,332,0.139468939,150,297
美,羊大,2,měi,美,,0.0932,237,408,0.139248788,151,298
被,衣皮,1,bèi pī bì pì,被,,0.1002,212,385,0.138966107,154,299
什,人十,5,shí shén,什,,0.1179,183,339,0.138430717,156,300
内,冂入,3,nèi nà,內,,0.1357,161,281,0.119548422,175,301
乂,乂,5,yì,乂,,0,3938,296,0,4017,302
等,竹寺,1,děng,等,,0.2081,90,211,0.137617814,158,303
少,少,2,shǎo shào,少,,0.1054,205,286,0.094580982,233,304
义,义,1,yì,義,,0.1978,97,192,0.100001541,208,305
气,气,1,qì xì,气,,0.1436,148,214,0.098544207,217,306
台,厶口,1,tái tāi yí,台,,0.0409,513,337,0.056516656,388,307
非,非,2,fēi fěi,非,,0.0567,392,355,0.077473844,283,308
交,交,3,jiāo,交,,0.0675,335,278,0.070141696,320,309
每,母屮,2,měi mèi,每,,0.0681,331,302,0.061804401,359,310
安,宀女,2,ān,安,,0.0634,356,393,0.094680204,232,311
尚,冂口八,1,shàng cháng,尚,,0.0147,1015,290,0.019832146,878,312
新,亲斤,5,xīn,新,,0.1384,157,299,0.131222598,161,313
西,西,1,xī,西,,0.0987,217,369,0.125898678,167,314
反,厂又,2,fǎn fān,反,,0.1177,185,282,0.093737072,237,315
受,爪冖又,2,shòu,受,,0.0874,258,336,0.093500901,238,316
制,朱刀,1,zhì,制,,0.1579,128,269,0.12958594,163,317
丹,井,1,dān,丹,,0.0071,1484,320,0.009907288,1280,318
代,人弋,1,dài,代,,0.1402,152,284,0.119756686,174,319
令,亼厶,2,líng lǐng lìng,令,,0.0303,647,381,0.059208073,378,320
亲,辛木,1,qīn qìng xīn,亲,,0.0564,396,322,0.061213716,362,321
回,回,4,huí,回,,0.1037,208,364,0.123637226,172,322
斯,其斤,3,sī,斯,,0.046,469,676,0.124493539,168,323
话,言舌,1,huà,話,,0.0957,228,396,0.124063057,170,324
特,牛寺,1,tè,特,,0.1196,181,335,0.123558675,173,325
斗,斗,1,dǒu dòu,斗,,0.0473,462,280,0.035893828,580,326
咅,立口,1,pǒu pòu,咅,,0,3938,333,0,4017,327
母,女,4,mǔ mú wú wǔ,母,,0.0347,583,349,0.036930499,565,328
员,口贝,1,yuán yún yùn,員,,0.0958,225,351,0.103469169,200,329
虫,虫,1,chóng,虫,,0.0228,789,289,0.00977189,1287,330
毛,毛,5,máo mào,毛,,0.041,512,294,0.03334401,623,331
告,牛口,2,gào,告,,0.0419,499,374,0.071463632,310,332
信,人言,2,xìn shēn,信,,0.0744,306,489,0.118988744,176,333
真,十具,1,zhēn,真,,0.0961,224,356,0.102538439,204,334
表,衣毛,2,biǎo,表,,0.1469,146,288,0.117190331,177,335
皿,皿,4,mǐn mǐng,皿,,0.0007,3168,341,0.000385005,3614,336
〢,〢,1,,〢,,0,3938,309,0,4017,337
度,庶又,1,dù duó,度,,0.1615,124,255,0.11078633,184,338
世,世,1,shì,世,,0.0907,245,406,0.111103636,181,339
任,人壬,4,rèn rén,任,,0.0836,272,430,0.109809089,186,340
象,象,4,xiàng,象,,0.1454,147,258,0.074134378,300,341
太,大,1,tài,太,,0.0677,334,400,0.093274549,240,342
平,干八,1,píng,平,,0.1202,178,308,0.098843942,215,343
必,必,1,bì,必,,0.0904,246,360,0.090418277,248,344
弟,弟,1,dì tì tuí,弟,,0.0188,877,439,0.022069826,816,345
给,糸合,1,gěi jǐ xiá,給,,0.1076,204,362,0.112563554,180,346
林,木,5,lín,林,,0.0547,407,412,0.060812691,364,347
位,人立,1,wèi,位,,0.1098,199,357,0.111100019,182,348
夫,大,1,fū fú,夫,,0.038,550,402,0.059318665,377,349
网,网,5,wǎng,网,,0.0098,1257,557,0.034685585,605,350
常,尚巾,3,cháng,常,,0.1172,186,340,0.109718135,187,351
弋,弋,1,yì,弋,,0.0002,3788,317,0.000221184,3843,352
共,廿廾,1,gòng gōng,共,,0.0675,335,370,0.066574328,330,353
海,水每,1,hǎi,海,,0.103,209,377,0.108164162,189,354
通,辵甬,3,tōng tòng,通,,0.1133,194,353,0.108031865,190,355
教,攴爻子,1,jiào jiāo,教,,0.1386,156,301,0.107943495,191,356
专,专,1,zhuān,專,,0.0429,492,345,0.043596511,485,357
完,宀元,3,wán,完,,0.0761,300,390,0.073962288,301,358
声,声,1,shēng,声,,0.0937,234,404,0.106500631,195,359
角,角,2,jiǎo jué gǔ lù,角,,0.0384,546,323,0.025881116,736,360
提,手是,1,tí dī dǐ shí,提,,0.1144,192,347,0.106023121,196,361
雨,雨,4,yǔ yù,雨,,0.023,783,372,0.01827869,928,362
解,刀牛角,5,jiě jiè xiè,解,,0.1126,195,350,0.103403538,201,363
今,亼,1,jīn,今,,0.0629,360,373,0.065437401,336,364
建,廴聿,1,jiàn,建,,0.1179,183,316,0.092137105,244,365
名,夕口,1,míng,名,,0.0742,307,488,0.10257203,203,366
官,宀𠂤,1,guān,官,,0.0305,645,467,0.050591714,432,367
区,匚乂,1,qū ōu,區,,0.0891,253,371,0.085153271,265,368
论,言仑,4,lùn lún,論,,0.1082,202,361,0.101891941,205,369
活,水舌,3,huó guō,活,,0.1509,137,275,0.098125094,219,370
处,夊人,1,chǔ chù,處,,0.0844,269,437,0.100378794,206,371
介,人〢,1,jiè,介,,0.0227,794,312,0.021575263,831,372
五,五,1,wǔ,五,,0.0868,260,346,0.079748215,279,373
条,木攴,1,tiáo tiāo,條,,0.1049,206,367,0.098850661,214,374
何,人可,3,hé hē hè,何,,0.0557,403,579,0.095261588,229,375
认,言人,4,rèn,認,,0.098,220,388,0.099153497,213,376
系,糸,1,xì jì,系,,0.1409,151,297,0.098586583,216,377
求,求,1,qiú,求,,0.082,278,363,0.071427974,312,378
歹,歹,2,dǎi dāi è,歹,,0.0011,2860,410,0.001110055,2895,379
题,是页,1,tí dì,題,,0.0937,234,407,0.09814835,218,380
总,心,1,zǒng zōng,總,,0.0896,249,418,0.095331354,228,381
匚,匚,5,fāng,匚,,0,3938,431,5.89135E-05,3954,382
电,申,1,diàn,电,,0.1163,189,338,0.095002679,230,383
川,川,3,chuān,川,,0.0102,1231,394,0.01321678,1109,384
丰,丰,1,fēng,丰,,0.0223,799,358,0.011596142,1189,385
四,四,1,sì,四,,0.111,197,354,0.095540135,226,386
别,另刀,1,bié biè,別,,0.1097,201,359,0.096449677,222,387
巳,巳,2,sì,巳,,0.0001,3870,368,0.000607739,3333,388
打,手丁,2,dǎ dá,打,,0.0898,248,423,0.096197486,223,389
空,穴工,3,kōng kòng kǒng,空,,0.0607,374,493,0.081930598,272,390
变,変又,3,biàn,變,,0.131,164,313,0.095667781,225,391
神,示申,4,shén shēn,神,,0.0821,276,445,0.095374764,227,392
则,贝刀,2,zé,則,,0.0853,266,366,0.07702269,284,393
九,九,1,jiǔ,九,,0.0531,415,342,0.048877538,445,394
数,娄攴,1,shù shǔ shuò cù,數,,0.0958,225,395,0.094732917,231,395
办,力八,1,bàn,辦,,0.0595,381,436,0.060414249,367,396
冃,冃,5,mào,冃,,0,3938,465,0,4017,397
报,手卩又,1,bào,報,,0.0605,376,571,0.094267293,234,398
皀,皀,1,jí bī,皀,,0,3938,384,0,4017,399
感,咸心,3,gǎn,感,,0.0921,239,411,0.092185683,243,400
结,糸吉,2,jié jiē jì,結,,0.1277,166,318,0.093886422,236,401
务,攴力,1,wù,務,,0.0691,326,496,0.09099811,245,402
色,人卩,1,sè shǎi,色,,0.0849,268,383,0.073502867,304,403
夬,夬,1,guài,夬,,0,3938,389,0,4017,404
量,日重,1,liáng liàng,量,,0.1475,145,287,0.093025458,241,405
另,口力,1,lìng,另,,0.0378,553,405,0.043255949,489,406
再,再,1,zài,再,,0.083,275,443,0.092818228,242,407
甘,口,1,gān,甘,,0.0066,1530,444,0.008089754,1408,408
市,市,1,shì,市,,0.0764,296,441,0.08760645,254,409
司,人口,1,sī,司,,0.0299,653,669,0.08022004,278,410
支,十又,2,zhī,支,,0.0449,478,391,0.050032036,437,411
爿,爿,1,pán qiáng,爿,,0.0001,3870,505,0,4017,412
做,人故,1,zuò,做,,0.0895,251,426,0.090737134,246,413
接,手妾,3,jiē,接,,0.0896,249,424,0.090681838,247,414
乚,乚,1,háo yǐ yǐn,乚,,0,3938,401,0,4017,415
朱,木,1,zhū shú,朱,,0.0086,1350,379,0.013020402,1120,416
北,匕,2,běi bèi,北,,0.0711,316,422,0.07076804,315,417
式,弋工,1,shì,式,,0.0913,243,365,0.07353439,303,418
场,土𠃓,3,cháng chǎng,場,,0.0872,259,432,0.089730436,249,419
勿,刀,1,wù,勿,,0.0012,2789,327,0.001757069,2559,420
件,人牛,1,jiàn,件,,0.082,278,447,0.089349566,250,421
计,言十,1,jì,計,,0.0776,291,470,0.088860687,251,422
保,人呆,1,bǎo,保,,0.0738,309,481,0.084971879,266,423
品,口,2,pǐn,品,,0.1101,198,324,0.071589211,308,424
却,去卩,1,què,卻,,0.0636,354,471,0.076835097,287,425
管,竹官,4,guǎn,管,,0.0816,280,450,0.088238995,252,426
放,方攴,4,fàng fǎng,放,,0.0901,247,382,0.076277486,291,427
期,其月,4,qī jī qí,期,,0.0989,216,386,0.087753217,253,428
德,彳𢛳,5,dé,德,,0.051,437,638,0.087293795,256,429
资,次贝,3,zī zì,資,,0.1199,179,334,0.087279841,257,430
命,亼叩,1,mìng,命,,0.0973,222,392,0.087004912,258,431
克,古儿,1,kè,克,,0.0546,408,593,0.085809071,262,432
争,爪,3,zhēng zhèng,爭,,0.0688,328,421,0.064298406,344,433
指,手旨,5,zhǐ,指,,0.091,244,420,0.086233352,261,434
亥,亥,1,hài,亥,,0.001,2927,484,0.000789648,3151,435
许,言午,1,xū hǔ xǔ,許,,0.0702,321,510,0.085803903,263,436
统,糸充,3,tǒng,統,,0.0942,232,403,0.085693311,264,437
疒,疒,1,nè chuáng,疒,,0,3938,480,0,4017,438
队,阝人,1,duì zhuì suì,隊,,0.0736,310,490,0.084203936,268,439
包,勹巳,2,bāo,包,,0.0513,431,413,0.047151476,454,440
光,火儿,2,guāng,光,,0.0942,232,378,0.076297641,290,441
聿,聿,1,yù,聿,,0.0001,3870,375,0.000516268,3449,442
吏,史,1,lì,吏,,0.0021,2376,441,0.002477985,2307,443
路,足各,1,lù luò,路,,0.0843,270,408,0.073286333,305,444
便,人更,1,biàn pián,便,,0.074,308,479,0.082416376,271,445
形,开彡,1,xíng,形,,0.1489,141,283,0.083744514,269,446
术,术,1,shù shú zhú,朮,,0.0984,218,352,0.068026494,328,447
社,示土,2,shè,社,,0.1841,108,235,0.082441182,270,448
佥,佥,1,qiān,僉,,0.0001,3870,498,5.21953E-05,3962,449
决,仌夬,1,jué,決,,0.0854,264,435,0.081630863,273,450
故,古攴,4,gù gǔ,故,,0.033,608,469,0.036209584,572,451
展,尸衣,1,zhǎn,展,,0.143,150,293,0.081010721,275,452
治,水台,1,zhì chí yí,治,,0.0821,276,445,0.081085655,274,453
科,禾斗,3,kē kè,科,,0.0916,241,417,0.080489285,277,454
舟,舟,2,zhōu,舟,,0.0018,2503,563,0.002771519,2220,455
单,单,1,dān shàn chán,單,,0.0627,361,475,0.056515105,389,456
基,其土,3,jī,基,,0.1024,210,380,0.07930688,280,457
南,南,1,nán nā,南,,0.0645,347,494,0.071873443,307,458
难,又隹,1,nán nàn nuó,難,,0.0678,333,498,0.07472558,296,459
列,歹刀,1,liè,列,,0.0397,531,433,0.042592397,500,460
眼,目艮,1,yǎn wěn,眼,,0.0805,287,459,0.078592167,281,461
万,万,1,wàn mò,万,,0.0564,396,551,0.069362901,322,462
甬,甬,4,yǒng dòng,甬,,0.0002,3788,463,0.000288366,3748,463
书,书,1,shū,書,,0.0638,351,545,0.078219048,282,464
尺,尺,1,chǐ chě,尺,,0.0086,1350,542,0.007453075,1474,465
失,手乙,1,shī,失,,0.0482,455,523,0.059609098,375,466
泉,白水,3,quán,泉,,0.0063,1556,425,0.005807115,1641,467
听,口斤,3,tīng tìng,听,,0.0694,324,516,0.076994784,285,468
界,田介,5,jiè,界,,0.0765,295,472,0.076710552,288,469
达,辵大,4,dá tà tì,達,,0.0664,340,531,0.076436139,289,470
七,七,1,qī,七,,0.0436,485,461,0.039671528,530,471
即,皀卩,1,jí,即,,0.0706,319,504,0.075687834,293,472
强,弓口虫,1,qiáng qiǎng jiàng,強,,0.0886,255,428,0.075794292,292,473
未,木,1,wèi,未,,0.0343,590,614,0.057100106,385,474
像,人象,5,xiàng,像,,0.0357,573,796,0.075084229,294,475
思,田心,1,sī sāi sì,思,,0.1154,190,344,0.074677002,298,476
拉,手立,2,lā lá lǎ là,拉,,0.0424,495,596,0.069275564,324,477
居,尸古,1,jū jī,居,,0.0252,743,485,0.029098621,678,478
曾,曾,1,zēng céng,曾,,0.0358,571,514,0.046163383,463,479
权,木又,1,quán,權,,0.0543,411,602,0.074678553,297,480
周,用口,1,zhōu,周,,0.0442,482,440,0.04308231,490,481
余,余,2,yú xú,余,,0.0274,690,477,0.026149845,729,482
设,言殳,2,shè,設,,0.0763,298,473,0.073766944,302,483
死,歹匕,4,sǐ,死,,0.049,445,631,0.070383035,317,484
张,弓长,4,zhāng zhàng,張,,0.0708,318,492,0.070327739,318,485
切,七刀,2,qiē qiè qì,切,,0.0638,351,502,0.06531699,337,486
风,几乂,1,fēng fěng fèng,風,,0.0745,305,452,0.06294598,348,487
吉,士口,1,jí,吉,,0.0086,1350,467,0.020713265,856,488
记,言己,4,jì,記,,0.0615,368,561,0.072092043,306,489
步,止,2,bù,步,,0.0699,322,466,0.062668983,349,490
住,人主,4,zhù,住,,0.0661,341,532,0.071576292,309,491
廴,廴,1,yǐn yìn,廴,,0,3938,450,0,4017,492
类,米大,1,lèi lì,類,,0.0877,257,429,0.071461048,311,493
据,手居,5,jù jū,据,,0.0665,339,530,0.071311181,313,494
充,子儿,1,chōng,充,,0.0348,581,448,0.028326027,690,495
程,禾呈,5,chéng,程,,0.0914,242,419,0.070779926,314,496
早,日十,1,zǎo,早,,0.0447,480,506,0.046315834,462,497
边,辵力,1,biān,邊,,0.068,332,525,0.070425928,316,498
击,击,1,jī jí jì xí,擊,,0.0278,680,780,0.05556112,395,499
该,言亥,3,gāi,該,,0.0516,429,629,0.070310168,319,500
规,夫见,1,guī guì kuī xù,規,,0.0804,288,455,0.069522071,321,501
仑,亼乚,1,lún,侖,,0.0018,2503,526,0.00303973,2135,502
庶,火石,1,shù,庶,,0.0007,3168,398,0.000962771,3000,503
乙,乙,1,yǐ,乙,,0.0078,1430,462,0.004296035,1872,504
格,木各,4,gé gē,格,,0.064,349,543,0.069241973,325,505
觉,见,3,jué jiào,覺,,0.0602,377,564,0.068236826,327,506
食,亼皀,1,shí sì yì,食,,0.0393,537,449,0.030030384,671,507
望,亡月𡈼,4,wàng,望,,0.0522,425,626,0.068807357,326,508
亡,刀,1,wáng wú,亡,,0.0128,1085,584,0.017527801,957,509
𠃓,𠃓,1,yáng,昜,,0,3938,513,0,4017,510
亚,亚,1,yā yà,亞,,0.0255,737,773,0.051808227,420,511
师,〢帀,1,shī,師,,0.0518,427,610,0.066192941,333,512
领,令页,4,lǐng,領,,0.0717,315,503,0.067695235,329,513
约,糸勺,1,yuē yāo dì yào,約,,0.0431,488,589,0.051238213,424,514
㫃,㫃,1,yǎn,㫃,,0,3938,533,0,4017,515
𠂤,𠂤,1,duī yǐ,𠂤,,0,3938,654,0,4017,516
付,人寸,2,fù,付,,0.0116,1156,685,0.021977321,820,517
羽,羽,4,yǔ hù,羽,,0.0037,1931,464,0.004323424,1865,518
氏,氏,1,shì zhī jīng,氏,,0.0106,1214,478,0.007166776,1500,519
确,石角,1,què,確,,0.0674,337,528,0.066363997,331,520
传,人专,3,chuán zhuàn,傳,,0.075,304,486,0.066244619,332,521
观,又见,1,guān guàn,觀,,0.1038,207,376,0.066043073,334,522
清,水青,5,qīng qìng,清,,0.0644,348,540,0.06600173,335,523
半,八牛,3,bàn,半,,0.049,445,508,0.041437382,513,524
咸,口戌,1,xián,咸,,0.0019,2458,512,0.00187438,2521,525
带,巾,1,dài,帶,,0.0734,312,487,0.064401247,342,526
尼,尸匕,2,ní,尼,,0.013,1072,606,0.031252064,654,527
院,阝完,3,yuàn,院,,0.0414,504,728,0.065174357,338,528
让,言上,3,ràng,讓,,0.0414,504,728,0.06493922,339,529
夂,人乂,1,zhǐ zhōng,夂,,0,3938,519,0,4017,530
识,言只,3,shí shi shì zhì,識,,0.0803,289,460,0.064711835,340,531
候,人侯,4,hòu,候,,0.0656,342,534,0.064528376,341,532
执,手丸,1,zhí,執,,0.0149,1003,518,0.024569516,763,533
导,巳寸,1,dǎo dào,導,,0.0806,283,456,0.064320628,343,534
运,辵云,4,yùn,運,,0.0842,271,438,0.064031229,345,535
笑,竹夭,3,xiào,笑,,0.0511,436,637,0.063513927,346,536
飞,飞,5,fēi,飛,,0.0398,528,754,0.063197654,347,537
友,𠂇又,2,yǒu,友,,0.0274,690,614,0.035242679,594,538
片,片,1,piàn piān pàn,片,,0.0407,515,651,0.046799545,455,539
造,辵告,3,zào cāo cào,造,,0.0884,256,427,0.062270542,354,540
改,己攴,1,gǎi,改,,0.0806,283,456,0.062542887,350,541
收,丩攴,3,shōu,收,,0.0656,342,534,0.062477773,351,542
根,木艮,4,gēn,根,,0.0809,282,454,0.062416275,352,543
丩,丩,2,jiū,丩,,0,3938,501,0,4017,544
